seed,n_clusters,points_per_cluster,dim,cluster_std,ari,nmi,sse,steps,converged,min_inter_token_dist,collapsed,n_tokens,n_steps,temperature,lr,momentum,repulsion,method
24,3,80,6,0.3,0.8686634135860875,0.9050058388891631,136.37059812181738,30,False,1.114815672610677,0.0,4,30,1.0,1.0,0.5,0.05,inertia_repulsion
25,3,80,6,0.3,0.8686634135860875,0.9050058388891631,129.3184806715283,26,True,0.5070266788021985,0.0,4,30,1.0,1.0,0.5,0.05,inertia_repulsion
26,3,80,6,0.3,0.868405530011043,0.904889305927475,125.72177420624398,30,False,0.2356259151521203,0.0,4,30,1.0,1.0,0.5,0.05,inertia_repulsion
27,3,80,6,0.3,0.86909312366145,0.9052002896311648,123.8526199229398,30,False,0.49793371254723034,0.0,4,30,1.0,1.0,0.5,0.05,inertia_repulsion
28,3,80,6,0.3,0.868405530011043,0.904889305927475,148.92802132176894,30,False,1.4994072026541259,0.0,4,30,1.0,1.0,0.5,0.05,inertia_repulsion
29,3,80,6,0.3,0.8683195592286501,0.9048504844691445,121.4096308564842,24,True,0.5125145238998019,0.0,4,30,1.0,1.0,0.5,0.05,inertia_repulsion
0,4,80,6,0.3,0.6277869621031611,0.8003855481737214,1562.9400969366443,5,True,0.00030421935753723473,0.0,4,30,1.0,1.0,0.0,0.0,baseline
1,4,80,6,0.3,1.0,1.0,172.27904350136728,3,True,6.187541722723139,0.0,4,30,1.0,1.0,0.0,0.0,baseline
2,4,80,6,0.3,1.0,1.0,168.13373775586393,4,True,5.903263514638125,0.0,4,30,1.0,1.0,0.0,0.0,baseline
3,4,80,6,0.3,1.0,1.0,173.42331583442768,3,True,6.686015226227717,0.0,4,30,1.0,1.0,0.0,0.0,baseline
4,4,80,6,0.3,1.0,1.0,161.42008914367517,3,True,9.508006933708447,0.0,4,30,1.0,1.0,0.0,0.0,baseline
5,4,80,6,0.3,1.0,1.0,166.72015215439808,5,True,5.450885242291281,0.0,4,30,1.0,1.0,0.0,0.0,baseline
6,4,80,6,0.3,0.6269560029361883,0.8000240481455232,3530.8517051320973,6,True,7.901821334012335e-05,0.0,4,30,1.0,1.0,0.0,0.0,baseline
7,4,80,6,0.3,0.6273992541638475,0.8002166662574268,3838.268150785142,6,True,0.00046116316361738044,0.0,4,30,1.0,1.0,0.0,0.0,baseline
8,4,80,6,0.3,1.0,1.0,171.55884122736254,3,True,6.890709679021229,0.0,4,30,1.0,1.0,0.0,0.0,baseline
